127.0.0.1 - - [09/Jan/2024:14:33:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:11 +0900] "GET /board/ HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:11 +0900] "GET /board/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:13 +0900] "GET /board/main HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:13 +0900] "GET /board/main HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:14 +0900] "GET /board/join HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:14 +0900] "GET /board/resources/css/join.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:20 +0900] "GET /board/login HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:27 +0900] "POST /board/login HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:30 +0900] "GET /board/boardlist HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:30 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:31 +0900] "GET /board/boardlist HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:32 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:32 +0900] "GET /board/boardlist HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:33 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:33 +0900] "GET /board/boardlist HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:33 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:34 +0900] "GET /board/boardlist HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:36 +0900] "GET /board/boardwrite HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:36 +0900] "GET /board/resources/img/basic.png HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:50 +0900] "POST /board/boardwrite HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:50 +0900] "GET /board/resources/img/unlike.png HTTP/1.1" 200 22669
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:34:52 +0900] "GET /board/boardlist?page= HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:17 +0900] "POST /board/boardsearch HTTP/1.1" 200 3359
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:18 +0900] "GET /board/boardwrite HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:19 +0900] "GET /board/boardlist HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:20 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:21 +0900] "GET /board/boardlist HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:36 +0900] "GET /board/boardlist HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:38 +0900] "GET /board/join HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:38 +0900] "GET /board/boardlist HTTP/1.1" 200 3279
0:0:0:0:0:0:0:1 - - [09/Jan/2024:14:35:44 +0900] "GET /board/logout HTTP/1.1" 200 1109
